                  20                   6                 160
                   0                   3                  43        0.0776520502
                   0                   3                  44        0.0721411007
                   0                   3                  45        0.0641501810
                   0                   3                  46        0.0713315496
                   0                   3                  47        0.0568032223
                   0                   3                  48        0.0328595108
                   0                   3                  49        0.0214503769
                   0                   3                  50        0.0326043971
                   0                   3                  51        0.0299634228
                   0                   3                  52        0.0342055383
                   0                   3                  53        0.0355590783
                   0                   3                  54        0.0413847635
                   0                   3                  55        0.0580721201
                   0                   3                  56        0.0720159401
                   0                   3                  57        0.0737678617
                   0                   3                  58        0.0738734124
                   0                   3                  59        0.0883427104
                   0                   3                  60        0.0769894747
                   0                   3                  61        0.0846074985
                   0                   3                  62        0.0865468969
                   0                   3                  63        0.0705940418
                   0                   3                  64        0.0784911562
                   0                   3                  65        0.0866317260
                   0                   3                  66        0.0896793701
                   0                   3                  67        0.0842081038
                   0                   3                  68        0.0722384778
                   0                   3                  69        0.0661594505
                   0                   3                  70        0.0562671469
                   0                   3                  71        0.0531777743
                   0                   3                  72        0.0553567153
                   0                   3                  73        0.0387820977
                   0                   3                  74        0.0340791201
